session_id,surface_type,t,ax_g,ay_g,az_g,vert_accel_ms2,delta_ms2,pothole_label,event_type
highway,smooth_asphalt,1750000003000,0.01438,-0.0332,-0.9044,-0.7242,-1.6258,0,normal
highway,smooth_asphalt,1750000003050,-0.05447,0.01173,-0.95798,-0.154,0.5702,0,normal
highway,smooth_asphalt,1750000003100,-0.06079,-0.00403,-0.9773,0.0327,0.1868,0,normal
highway,smooth_asphalt,1750000003150,-0.04052,0.00278,-1.05621,0.6428,0.6101,0,normal
highway,smooth_asphalt,1750000003200,0.02625,0.03238,-0.97402,-0.1374,-0.7802,0,normal
highway,smooth_asphalt,1750000003250,0.00735,-0.01522,-1.11206,0.974,1.1114,0,normal
highway,smooth_asphalt,1750000003300,-0.05162,0.0057,-0.9746,-0.2917,-1.2657,0,normal
highway,smooth_asphalt,1750000003350,-0.00687,0.00318,-0.97261,-0.2552,0.0365,0,normal
highway,smooth_asphalt,1750000003400,0.0269,0.01897,-0.79137,-1.627,-1.3718,0,normal
highway,smooth_asphalt,1750000003450,0.01107,0.02455,-0.96558,0.0679,1.6949,0,normal
highway,smooth_asphalt,1750000003500,0.04038,-0.00682,-0.97481,0.1268,0.059,0,normal
highway,smooth_asphalt,1750000003550,0.02296,-0.05438,-1.0093,0.3753,0.2484,0,normal
highway,smooth_asphalt,1750000003600,-0.02261,-0.0011,-1.20215,1.8098,1.4346,0,normal
highway,smooth_asphalt,1750000003650,-0.00891,0.06103,-1.09917,0.6446,-1.1653,0,normal
highway,smooth_asphalt,1750000003700,0.01577,-0.0126,-1.09823,0.5045,-0.14,0,normal
highway,smooth_asphalt,1750000003750,0.01008,-0.02039,-0.94545,-0.7948,-1.2993,0,normal
highway,smooth_asphalt,1750000003800,-0.01508,-0.02791,-0.98027,-0.3616,0.4331,0,normal
highway,smooth_asphalt,1750000003850,0.02478,0.03735,-0.87957,-1.0786,-0.7169,0,normal
highway,smooth_asphalt,1750000003900,0.04001,-0.01599,-1.05095,0.484,1.5626,0,normal
highway,smooth_asphalt,1750000003950,0.01708,0.02192,-0.91472,-0.6835,-1.1675,0,normal
highway,smooth_asphalt,1750000004000,-0.00028,-0.01334,-0.9553,-0.2304,0.4531,0,normal
highway,smooth_asphalt,1750000004050,-0.01183,-0.01054,-1.06189,0.6522,0.8826,0,normal
highway,smooth_asphalt,1750000004100,-0.02604,-0.09248,-1.08606,0.7262,0.074,0,normal
highway,smooth_asphalt,1750000004150,0.01783,-0.00819,-0.96552,-0.3774,-1.1035,0,normal
highway,smooth_asphalt,1750000004200,-0.01814,0.02033,-1.15063,1.1489,1.5263,0,normal
highway,smooth_asphalt,1750000004250,0.01201,-0.02707,-0.9198,-0.8882,-2.0371,0,normal
highway,smooth_asphalt,1750000004300,-0.02151,0.07326,-0.83003,-1.4134,-0.5252,0,normal
highway,smooth_asphalt,1750000004350,0.04375,0.00824,-0.79737,-1.3869,0.0265,0,normal
highway,smooth_asphalt,1750000004400,0.02064,0.01204,-0.94745,0.0676,1.4545,0,normal
highway,smooth_asphalt,1750000004450,-0.01059,0.00202,-1.185,1.9162,1.8486,0,normal
highway,smooth_asphalt,1750000004500,0.02638,-0.03651,-0.90376,-0.6707,-2.5869,0,normal
highway,smooth_asphalt,1750000004550,-0.01019,-0.03513,-1.02741,0.4332,1.104,0,normal
highway,smooth_asphalt,1750000004600,-0.02669,0.0009,-1.03256,0.3854,-0.0479,0,normal
highway,smooth_asphalt,1750000004650,0.05289,0.02592,-0.80592,-1.4658,-1.8512,0,normal
highway,smooth_asphalt,1750000004700,-0.00066,0.00549,-0.93402,-0.1713,1.2945,0,normal
highway,smooth_asphalt,1750000004750,0.01231,-0.01655,-1.04458,0.7318,0.9031,0,normal
highway,smooth_asphalt,1750000004800,-0.00139,0.01522,-0.67934,-2.2819,-3.0137,0,normal
highway,smooth_asphalt,1750000004850,0.00699,-0.05797,-0.89019,-0.1648,2.1171,0,normal
highway,smooth_asphalt,1750000004900,-0.00643,-0.00617,-1.05933,1.1901,1.355,0,normal
highway,smooth_asphalt,1750000004950,-0.0685,0.02294,-1.01498,0.61,-0.5801,0,normal
highway,smooth_asphalt,1750000005000,0.02918,0.0632,-1.08499,1.0377,0.4277,0,normal
highway,smooth_asphalt,1750000005050,-0.0267,0.00892,-0.89552,-0.659,-1.6967,0,normal
highway,smooth_asphalt,1750000005100,-0.0112,-0.02103,-0.89325,-0.5467,0.1123,0,normal
highway,smooth_asphalt,1750000005150,-0.09132,0.00563,-0.99556,0.3829,0.9296,0,normal
highway,smooth_asphalt,1750000005200,-0.08286,-0.00294,-1.07479,0.9307,0.5479,0,normal
highway,smooth_asphalt,1750000005250,-0.00201,-0.04156,-0.95214,-0.2367,-1.1674,0,normal
highway,smooth_asphalt,1750000005300,-0.02576,-0.0355,-1.2009,1.7687,2.0053,0,normal
highway,smooth_asphalt,1750000005350,-0.01788,0.02529,-1.01591,-0.0413,-1.81,0,normal
highway,smooth_asphalt,1750000005400,0.0047,0.02115,-0.93443,-0.6744,-0.6331,0,normal
highway,smooth_asphalt,1750000005450,0.05881,-0.00218,-1.05438,0.4029,1.0773,0,normal
highway,smooth_asphalt,1750000005500,0.08478,-0.00563,-0.99119,-0.162,-0.5649,0,normal
highway,smooth_asphalt,1750000005550,-0.00434,-0.04355,-1.14598,1.0793,1.2414,0,normal
highway,smooth_asphalt,1750000005600,-0.00918,0.00427,-1.04973,0.1052,-0.9742,0,normal
highway,smooth_asphalt,1750000005650,-0.02531,-0.07975,-1.00993,-0.215,-0.3201,0,normal
highway,smooth_asphalt,1750000005700,-0.03749,-0.0268,-0.93854,-0.7385,-0.5235,0,normal
highway,smooth_asphalt,1750000005750,0.00539,-0.0003,-0.99154,-0.1811,0.5574,0,normal
highway,smooth_asphalt,1750000005800,-0.01761,0.02019,-0.91198,-0.7687,-0.5876,0,normal
highway,smooth_asphalt,1750000005850,-0.00251,0.06062,-0.95557,-0.2691,0.4996,0,normal
highway,smooth_asphalt,1750000005900,0.00382,0.01868,-1.02138,0.3001,0.5693,0,normal
highway,smooth_asphalt,1750000005950,0.0108,-0.00792,-0.85631,-1.0563,-1.3565,0,normal
highway,smooth_asphalt,1750000006000,0.00059,0.05191,-0.84491,-0.9286,0.1278,0,normal
highway,smooth_asphalt,1750000006050,0.02988,0.02467,-0.89553,-0.3471,0.5815,0,normal
highway,smooth_asphalt,1750000006100,-0.01991,0.01565,-1.02883,0.766,1.1131,0,normal
highway,smooth_asphalt,1750000006150,-0.00917,0.0567,-1.05153,0.7989,0.0329,0,normal
highway,smooth_asphalt,1750000006200,0.03555,0.05249,-0.9714,0.0126,-0.7863,0,normal
highway,smooth_asphalt,1750000006250,-0.0395,0.0043,-1.15907,1.4719,1.4593,0,normal
highway,smooth_asphalt,1750000006300,-0.02451,0.0009,-1.04108,0.2524,-1.2195,0,normal
highway,smooth_asphalt,1750000006350,-0.01138,0.02154,-1.14124,0.9903,0.7379,0,normal
highway,smooth_asphalt,1750000006400,-0.03167,-0.00259,-1.03593,-0.0349,-1.0252,0,normal
highway,smooth_asphalt,1750000006450,-0.03393,0.04233,-1.08969,0.401,0.436,0,normal
highway,smooth_asphalt,1750000006500,-0.04992,-0.02291,-0.84847,-1.5752,-1.9763,0,normal
highway,smooth_asphalt,1750000006550,0.00461,0.01404,-1.1505,1.1043,2.6795,0,normal
highway,smooth_asphalt,1750000006600,0.04142,-0.01173,-0.97484,-0.4963,-1.6005,0,normal
highway,smooth_asphalt,1750000006650,0.00447,-0.04948,-1.19218,1.3133,1.8096,0,normal
highway,smooth_asphalt,1750000006700,-0.02348,0.02301,-0.98148,-0.6024,-1.9157,0,normal
highway,smooth_asphalt,1750000006750,0.00184,-0.02203,-1.0147,-0.2223,0.3801,0,normal
highway,smooth_asphalt,1750000006800,-0.00287,0.03303,-0.78997,-1.9405,-1.7182,0,normal
highway,smooth_asphalt,1750000006850,0.0297,0.01055,-1.02629,0.3021,2.2426,0,normal
highway,smooth_asphalt,1750000006900,-0.04899,-0.00807,-1.17957,1.447,1.1449,0,normal
highway,smooth_asphalt,1750000006950,0.00893,0.01247,-1.06021,0.2182,-1.2288,0,normal
highway,smooth_asphalt,1750000007000,0.00088,-0.02171,-1.06532,0.2148,-0.0033,0,normal
highway,smooth_asphalt,1750000007050,-0.02695,0.00677,-1.03298,-0.0804,-0.2953,0,normal
highway,smooth_asphalt,1750000007100,0.02089,-0.01317,-0.86451,-1.388,-1.3076,0,normal
highway,smooth_asphalt,1750000007150,0.01229,0.01296,-0.87176,-1.0531,0.335,0,normal
highway,smooth_asphalt,1750000007200,-0.02141,0.03794,-1.04893,0.551,1.604,0,normal
highway,smooth_asphalt,1750000007250,-0.03914,0.02302,-0.91466,-0.611,-1.1619,0,normal
highway,smooth_asphalt,1750000007300,-0.08011,0.00717,-0.94319,-0.2549,0.3561,0,normal
highway,smooth_asphalt,1750000007350,0.0123,-0.04703,-0.98976,0.1459,0.4008,0,normal
highway,smooth_asphalt,1750000007400,-0.00744,0.03276,-0.96593,-0.0661,-0.212,0,normal
highway,smooth_asphalt,1750000007450,-0.09437,-0.02471,-1.02623,0.4396,0.5057,0,normal
highway,smooth_asphalt,1750000007500,0.02913,0.01744,-1.00982,0.1985,-0.2411,0,normal
highway,smooth_asphalt,1750000007550,0.0116,-0.09688,-1.01344,0.2043,0.0058,0,normal
highway,smooth_asphalt,1750000007600,0.02965,-0.00112,-0.80007,-1.5223,-1.7266,0,normal
highway,smooth_asphalt,1750000007650,-0.03469,0.01164,-0.98034,0.2003,1.7225,0,normal
highway,smooth_asphalt,1750000007700,-0.00037,-0.02337,-1.08639,0.9924,0.7922,0,normal
highway,smooth_asphalt,1750000007750,0.03151,-0.01644,-1.05961,0.5836,-0.4088,0,normal
highway,smooth_asphalt,1750000007800,0.02173,0.0186,-1.20437,1.6018,1.0182,0,normal
highway,smooth_asphalt,1750000007850,0.00081,-0.01389,-0.96365,-0.6066,-2.2084,0,normal
highway,smooth_asphalt,1750000007900,0.04316,-0.01404,-1.13355,0.8515,1.458,0,normal
highway,smooth_asphalt,1750000007950,0.02707,-0.02519,-0.95118,-0.7497,-1.6011,0,normal
highway,smooth_asphalt,1750000008000,0.01951,0.01854,-1.04103,0.1018,0.8515,0,normal
highway,smooth_asphalt,1750000008050,0.02433,-0.05709,-0.85853,-1.3419,-1.4438,0,normal
highway,smooth_asphalt,1750000008100,0.00154,0.00434,-1.00484,0.0645,1.4064,0,normal
highway,smooth_asphalt,1750000008150,-0.02288,0.02738,-0.96051,-0.2966,-0.3611,0,normal
highway,smooth_asphalt,1750000008200,0.00819,-0.00872,-0.85022,-1.0999,-0.8033,0,normal
highway,smooth_asphalt,1750000008250,-0.02275,0.01483,-1.06437,0.8,1.8999,0,normal
highway,smooth_asphalt,1750000008300,0.04188,0.01408,-1.03756,0.4332,-0.3668,0,normal
highway,smooth_asphalt,1750000008350,-0.01278,0.03159,-1.01937,0.2022,-0.2309,0,normal
highway,smooth_asphalt,1750000008400,-0.0207,0.04735,-0.97686,-0.1677,-0.3699,0,normal
highway,smooth_asphalt,1750000008450,-0.03093,0.04996,-0.9693,-0.1897,-0.022,0,normal
highway,smooth_asphalt,1750000008500,-0.04957,0.036,-1.06358,0.5894,0.7791,0,normal
highway,smooth_asphalt,1750000008550,-0.00675,0.06108,-0.8871,-0.9104,-1.4998,0,normal
highway,smooth_asphalt,1750000008600,-0.03512,0.02201,-0.86998,-0.8688,0.0416,0,normal
highway,smooth_asphalt,1750000008650,0.0463,-0.06586,-0.98005,0.1566,1.0254,0,normal
highway,smooth_asphalt,1750000008700,-0.01746,-0.00569,-1.06999,0.8398,0.6832,0,normal
highway,smooth_asphalt,1750000008750,0.01244,-0.00177,-0.83626,-1.1632,-2.003,0,normal
highway,smooth_asphalt,1750000008800,-0.01756,-0.0251,-0.99182,0.2919,1.4551,0,normal
highway,smooth_asphalt,1750000008850,0.03438,-0.00739,-1.04409,0.6437,0.3518,0,normal
highway,smooth_asphalt,1750000008900,-0.00737,-0.00929,-1.18278,1.6031,0.9593,0,normal
highway,smooth_asphalt,1750000008950,-0.00021,-0.03132,-1.0342,0.1182,-1.4849,0,normal
highway,smooth_asphalt,1750000009000,-0.02518,0.04392,-1.11311,0.7139,0.5958,0,normal
highway,smooth_asphalt,1750000009050,0.01664,0.00069,-0.93807,-0.804,-1.5179,0,normal
highway,smooth_asphalt,1750000009100,-0.02471,-0.00905,-1.12321,0.8109,1.6149,0,normal
highway,smooth_asphalt,1750000009150,0.04021,0.00179,-0.98076,-0.4688,-1.2797,0,normal
highway,smooth_asphalt,1750000009200,0.02026,-0.02141,-1.00179,-0.2094,0.2594,0,normal
highway,smooth_asphalt,1750000009250,-0.02059,-0.00635,-0.83433,-1.4833,-1.2739,0,normal
highway,smooth_asphalt,1750000009300,-0.0392,0.00046,-1.09723,0.8787,2.362,0,normal
highway,smooth_asphalt,1750000009350,0.03519,-0.05214,-1.03228,0.1973,-0.6815,0,normal
highway,smooth_asphalt,1750000009400,0.00768,-0.01077,-0.92147,-0.7163,-0.9136,0,normal
highway,smooth_asphalt,1750000009450,-0.01785,-0.01943,-1.08434,0.7061,1.4224,0,normal
highway,smooth_asphalt,1750000009500,-0.02091,0.05093,-0.94888,-0.4988,-1.2048,0,normal
highway,smooth_asphalt,1750000009550,-0.00312,-0.04543,-0.92308,-0.5982,-0.0994,0,normal
highway,smooth_asphalt,1750000009600,0.02635,-0.07428,-1.03889,0.4395,1.0376,0,normal
highway,smooth_asphalt,1750000009650,0.00075,0.06234,-1.0974,0.7974,0.3579,0,normal
highway,smooth_asphalt,1750000009700,-0.0332,-0.00587,-1.16592,1.1801,0.3827,0,normal
highway,smooth_asphalt,1750000009750,0.01654,0.00282,-0.94334,-0.8043,-1.9844,0,normal
highway,smooth_asphalt,1750000009800,0.01418,-0.00253,-0.92911,-0.7545,0.0497,0,normal
highway,smooth_asphalt,1750000009850,-0.04148,0.03629,-1.17442,1.3249,2.0794,0,normal
highway,smooth_asphalt,1750000009900,0.04472,0.02645,-0.94818,-0.7155,-2.0403,0,normal
highway,smooth_asphalt,1750000009950,0.00013,-0.00753,-1.01169,-0.077,0.6384,0,normal
highway,smooth_asphalt,1750000010000,-0.01676,-0.07501,-1.08587,0.5278,0.6048,0,normal
highway,smooth_asphalt,1750000010050,-0.02624,-0.04708,-0.93491,-0.7614,-1.2892,0,normal
highway,smooth_asphalt,1750000010100,0.02057,0.01483,-0.93882,-0.5866,0.1748,0,normal
highway,smooth_asphalt,1750000010150,-0.0068,-0.00362,-0.82361,-1.3715,-0.7849,0,normal
highway,smooth_asphalt,1750000010200,0.03725,0.00027,-0.9192,-0.3453,1.0261,0,normal
highway,smooth_asphalt,1750000010250,-0.00055,-0.02324,-0.82513,-1.0143,-0.669,0,normal
highway,smooth_asphalt,1750000010300,0.00176,0.03663,-1.02332,0.7423,1.7566,0,normal
highway,smooth_asphalt,1750000010350,-0.00213,-0.03695,-0.92379,-0.1844,-0.9267,0,normal
highway,smooth_asphalt,1750000010400,0.01853,0.00671,-0.89182,-0.4002,-0.2159,0,normal
highway,smooth_asphalt,1750000010450,-0.02867,0.01883,-0.96492,0.2536,0.6539,0,normal
highway,smooth_asphalt,1750000010500,-0.02565,0.01321,-1.15413,1.689,1.4354,0,normal
highway,smooth_asphalt,1750000010550,0.00205,-0.00563,-1.09299,0.87,-0.8191,0,normal
highway,smooth_asphalt,1750000010600,-0.00278,0.00212,-1.05051,0.3628,-0.5071,0,normal
highway,smooth_asphalt,1750000010650,0.05593,0.032,-0.95189,-0.4781,-0.841,0,normal
highway,smooth_asphalt,1750000010700,0.01567,0.04866,-0.9614,-0.3066,0.1715,0,normal
highway,smooth_asphalt,1750000010750,0.0315,-0.00593,-0.79111,-1.5854,-1.2788,0,normal
highway,smooth_asphalt,1750000010800,0.03248,0.02653,-1.16402,1.6614,3.2468,0,normal
highway,smooth_asphalt,1750000010850,-0.04076,-0.06561,-0.9794,-0.1245,-1.7859,0,normal
highway,smooth_asphalt,1750000010900,0.03782,0.014,-0.97051,-0.1647,-0.0403,0,normal
highway,smooth_asphalt,1750000010950,-0.00473,0.03995,-0.98008,-0.0577,0.107,0,normal
highway,smooth_asphalt,1750000011000,-0.04068,0.02393,-0.95603,-0.2343,-0.1766,0,normal
highway,smooth_asphalt,1750000011050,0.03002,-0.00616,-1.08439,0.8184,1.0528,0,normal
highway,smooth_asphalt,1750000011100,0.00924,0.00796,-0.96711,-0.2655,-1.084,0,normal
highway,smooth_asphalt,1750000011150,0.01684,-0.02105,-1.09979,0.8288,1.0943,0,normal
highway,smooth_asphalt,1750000011200,-0.0254,0.00524,-1.02946,0.1107,-0.7181,0,normal
highway,smooth_asphalt,1750000011250,-0.05666,0.03228,-1.01018,-0.0559,-0.1666,0,normal
highway,smooth_asphalt,1750000011300,0.00938,0.00766,-0.90875,-0.847,-0.7911,0,normal
highway,smooth_asphalt,1750000011350,0.01522,0.02891,-1.08477,0.7062,1.5532,0,normal
highway,smooth_asphalt,1750000011400,0.00162,-0.0293,-0.98991,-0.1822,-0.8884,0,normal
highway,smooth_asphalt,1750000011450,-0.0256,0.00427,-1.04042,0.2529,0.4352,0,normal
highway,smooth_asphalt,1750000011500,-0.00549,-0.01902,-1.10506,0.7087,0.4558,0,normal
highway,smooth_asphalt,1750000011550,-0.00842,-0.0218,-0.85353,-1.4061,-2.1148,0,normal
highway,smooth_asphalt,1750000011600,-0.04186,0.00676,-0.99825,0.0137,1.4198,0,normal
highway,smooth_asphalt,1750000011650,0.04204,-0.02406,-0.94534,-0.4071,-0.4208,0,normal
highway,smooth_asphalt,1750000011700,-0.05273,0.01212,-0.93908,-0.3702,0.0369,0,normal
highway,smooth_asphalt,1750000011750,0.0075,0.03777,-0.94752,-0.2333,0.1369,0,normal
highway,smooth_asphalt,1750000011800,-0.01766,0.02055,-0.9714,0.0023,0.2356,0,normal
highway,smooth_asphalt,1750000011850,-0.00257,-0.00103,-1.15292,1.4239,1.4216,0,normal
highway,smooth_asphalt,1750000011900,0.0224,-0.01155,-1.02391,0.1265,-1.2974,0,normal
highway,smooth_asphalt,1750000011950,-0.03972,0.02487,-1.22734,1.7024,1.5759,0,normal
highway,smooth_asphalt,1750000012000,0.05144,0.02239,-0.8761,-1.3954,-3.0977,0,normal
highway,smooth_asphalt,1750000012050,0.02969,-0.05072,-0.96304,-0.4333,0.9621,0,normal
highway,smooth_asphalt,1750000012100,0.01643,-0.06432,-0.97887,-0.2167,0.2166,0,normal
highway,smooth_asphalt,1750000012150,-0.0147,-0.00397,-0.99971,-0.0179,0.1989,0,normal
highway,smooth_asphalt,1750000012200,0.02315,-0.01071,-1.02038,0.1505,0.1683,0,normal
highway,smooth_asphalt,1750000012250,-0.01606,0.00518,-0.80201,-1.5961,-1.7465,0,normal
highway,smooth_asphalt,1750000012300,-0.05092,0.01281,-1.09875,1.0559,2.652,0,normal
highway,smooth_asphalt,1750000012350,-0.02033,-0.01377,-0.96285,-0.2223,-1.2782,0,normal
highway,smooth_asphalt,1750000012400,-0.03635,0.02379,-1.1246,1.0933,1.3156,0,normal
highway,smooth_asphalt,1750000012450,0.00432,0.01684,-0.91071,-0.8076,-1.9009,0,normal
highway,smooth_asphalt,1750000012500,0.00916,0.00713,-1.04846,0.4349,1.2425,0,normal
highway,smooth_asphalt,1750000012550,-0.01446,-0.0788,-0.85787,-1.1379,-1.5728,0,normal
highway,smooth_asphalt,1750000012600,0.01822,-0.00322,-0.92541,-0.389,0.7489,0,normal
highway,smooth_asphalt,1750000012650,0.02473,0.01703,-1.0462,0.6373,1.0264,0,normal
highway,smooth_asphalt,1750000012700,-0.05022,-0.01241,-0.98955,0.0696,-0.5677,0,normal
highway,smooth_asphalt,1750000012750,-0.05209,-0.00662,-0.92211,-0.4705,-0.5401,0,normal
highway,smooth_asphalt,1750000012800,-0.00254,0.02283,-1.00698,0.2829,0.7535,0,normal
highway,smooth_asphalt,1750000012850,0.03221,0.00864,-0.93261,-0.3576,-0.6405,0,normal
highway,smooth_asphalt,1750000012900,-0.01281,0.0642,-0.98615,0.1429,0.5005,0,normal
highway,smooth_asphalt,1750000012950,0.01017,-0.00023,-0.92486,-0.3742,-0.5171,0,normal
highway,smooth_asphalt,1750000013000,-0.04286,-0.00715,-0.90988,-0.4131,-0.0388,0,normal
highway,smooth_asphalt,1750000013050,0.01978,0.00277,-0.99781,0.3561,0.7691,0,normal
highway,smooth_asphalt,1750000013100,0.01612,-0.01461,-1.09171,1.0224,0.6664,0,normal
highway,smooth_asphalt,1750000013150,0.00927,0.01563,-1.05088,0.4985,-0.5239,0,normal
highway,smooth_asphalt,1750000013200,0.03862,0.01265,-0.9691,-0.2405,-0.739,0,normal
highway,smooth_asphalt,1750000013250,-0.0174,0.03204,-0.94549,-0.3784,-0.1379,0,normal
highway,smooth_asphalt,1750000013300,0.01788,0.03665,-0.97687,-0.0537,0.3247,0,normal
highway,smooth_asphalt,1750000013350,-0.04381,0.0427,-0.99433,0.0968,0.1504,0,normal
highway,smooth_asphalt,1750000013400,-0.00697,-0.02694,-0.91135,-0.5832,-0.6799,0,normal
highway,smooth_asphalt,1750000013450,0.00638,0.12226,-0.88392,-0.647,-0.0638,0,normal
highway,smooth_asphalt,1750000013500,0.0473,0.01159,-0.84256,-0.869,-0.222,0,normal
highway,smooth_asphalt,1750000013550,-0.02835,0.0129,-1.09312,1.2685,2.1375,0,normal
highway,smooth_asphalt,1750000013600,-0.02895,0.03014,-0.97768,0.1143,-1.1542,0,normal
